代號,簡稱,市場別,產業別,更新日
2228,劍麟,上市,汽車工業,2026-06-19 06:24
2230,泰茂,上櫃,居家生活,2026-06-19 06:24
2231,為升,上市,汽車工業,2026-06-19 06:24
2233,宇隆,上市,汽車工業,2026-06-19 06:24
2235,謚源,上櫃,電機機械,2026-06-19 06:24
2236,百達-KY,上市,汽車工業,2026-06-19 06:24
2237,華德動能,興櫃,電機機械,2026-06-19 06:24
2239,英利-KY,上市,汽車工業,2026-06-19 06:24
2241,艾姆勒,上市,汽車工業,2026-06-19 06:24
2243,宏旭-KY,上市,汽車工業,2026-06-19 06:24
2245,詠勝昌*,興櫃,電機機械,2026-06-19 06:24
2247,汎德永業,上市,汽車工業,2026-06-19 06:24
2248,華勝-KY,上市,汽車工業,2026-06-19 06:24
2249,湧盛,興櫃,電機機械,2026-06-19 06:24
2250,IKKA-KY,上市,汽車工業,2026-06-19 06:24
2252,為昇科,興櫃,其他電子業,2026-06-19 06:24
2255,凱銳光電,興櫃,其他電子業,2026-06-19 06:24
2256,歐特明,興櫃,其他電子業,2026-06-19 06:24
2301,光寶科,上市,電腦及週邊設備業,2026-06-19 06:24
2302,麗正,上市,半導體業,2026-06-19 06:24
2303,聯電,上市,半導體業,2026-06-19 06:24
2305,全友,上市,電腦及週邊設備業,2026-06-19 06:24
2308,台達電,上市,電子零組件業,2026-06-19 06:24
2312,金寶,上市,其他電子業,2026-06-19 06:24
2313,華通,上市,電子零組件業,2026-06-19 06:24
2314,台揚,上市,通信網路業,2026-06-19 06:24
2316,楠梓電,上市,電子零組件業,2026-06-19 06:24
2317,鴻海,上市,其他電子業,2026-06-19 06:24
2321,東訊,上市,通信網路業,2026-06-19 06:24
2323,中環,上市,光電業,2026-06-19 06:24
2324,仁寶,上市,電腦及週邊設備業,2026-06-19 06:24
2327,國巨*,上市,電子零組件業,2026-06-19 06:24
2328,廣宇,上市,電子零組件業,2026-06-19 06:24
2329,華泰,上市,半導體業,2026-06-19 06:24
2330,台積電,上市,半導體業,2026-06-19 06:24
2331,精英,上市,電腦及週邊設備業,2026-06-19 06:24
2332,友訊,上市,通信網路業,2026-06-19 06:24
2337,旺宏,上市,半導體業,2026-06-19 06:24
2338,光罩,上市,半導體業,2026-06-19 06:24
2340,台亞,上市,半導體業,2026-06-19 06:24
2342,茂矽,上市,半導體業,2026-06-19 06:24
2344,華邦電,上市,半導體業,2026-06-19 06:24
2345,智邦,上市,通信網路業,2026-06-19 06:24
2347,聯強,上市,電子通路業,2026-06-19 06:24
2348,海悅,上市,其他業,2026-06-19 06:24
2349,錸德,上市,光電業,2026-06-19 06:24
2351,順德,上市,半導體業,2026-06-19 06:24
2352,佳世達,上市,電腦及週邊設備業,2026-06-19 06:24
2353,宏��,上市,電腦及週邊設備業,2026-06-19 06:24
2354,鴻準,上市,其他電子業,2026-06-19 06:24
2355,敬鵬,上市,電子零組件業,2026-06-19 06:24
2356,英業達,上市,電腦及週邊設備業,2026-06-19 06:24
2357,華碩,上市,電腦及週邊設備業,2026-06-19 06:24
2359,所羅門,上市,其他電子業,2026-06-19 06:24
2360,致茂,上市,其他電子業,2026-06-19 06:24
2362,藍天,上市,電腦及週邊設備業,2026-06-19 06:24
2363,矽統,上市,半導體業,2026-06-19 06:24
2364,倫飛,上市,電腦及週邊設備業,2026-06-19 06:24
2365,昆盈,上市,電腦及週邊設備業,2026-06-19 06:24
2367,燿華,上市,電子零組件業,2026-06-19 06:24
2368,金像電,上市,電子零組件業,2026-06-19 06:24
2369,菱生,上市,半導體業,2026-06-19 06:24
2371,大同,上市,電機機械,2026-06-19 06:24
2373,震旦行,上市,其他電子業,2026-06-19 06:24
2374,佳能,上市,光電業,2026-06-19 06:24
2375,凱美,上市,電子零組件業,2026-06-19 06:24
2376,技嘉,上市,電腦及週邊設備業,2026-06-19 06:24
2377,微星,上市,電腦及週邊設備業,2026-06-19 06:24
2379,瑞昱,上市,半導體業,2026-06-19 06:24
2380,虹光,上市,電腦及週邊設備業,2026-06-19 06:24
2382,廣達,上市,電腦及週邊設備業,2026-06-19 06:24
2383,台光電,上市,電子零組件業,2026-06-19 06:24
2385,群光,上市,電子零組件業,2026-06-19 06:24
2387,精元,上市,電腦及週邊設備業,2026-06-19 06:24
2388,威盛,上市,半導體業,2026-06-19 06:24
2390,云辰,上市,其他電子業,2026-06-19 06:24
2392,正崴,上市,電子零組件業,2026-06-19 06:24
2393,億光,上市,光電業,2026-06-19 06:24
2395,研華,上市,電腦及週邊設備業,2026-06-19 06:24
2397,友通,上市,電腦及週邊設備業,2026-06-19 06:24
2399,映泰,上市,電腦及週邊設備業,2026-06-19 06:24
2401,凌陽,上市,半導體業,2026-06-19 06:24
2402,毅嘉,上市,電子零組件業,2026-06-19 06:24
2404,漢唐,上市,其他電子業,2026-06-19 06:24
2405,輔信,上市,電腦及週邊設備業,2026-06-19 06:24
2406,國碩,上市,光電業,2026-06-19 06:24
2408,南亞科,上市,半導體業,2026-06-19 06:24
2409,友達,上市,光電業,2026-06-19 06:24
2412,中華電,上市,通信網路業,2026-06-19 06:24
2413,環科,上市,電子零組件業,2026-06-19 06:24
2414,精技,上市,電子通路業,2026-06-19 06:24
2415,錩新,上市,電子零組件業,2026-06-19 06:24
2417,圓剛,上市,電腦及週邊設備業,2026-06-19 06:24
2419,仲琦,上市,通信網路業,2026-06-19 06:24
2420,新巨,上市,電子零組件業,2026-06-19 06:24
2421,建準,上市,電子零組件業,2026-06-19 06:24
2423,固緯,上市,其他電子業,2026-06-19 06:24
2424,隴華,上市,通信網路業,2026-06-19 06:24
2425,承啟,上市,電腦及週邊設備業,2026-06-19 06:24
2426,鼎元,上市,光電業,2026-06-19 06:24
2427,三商電,上市,資訊服務業,2026-06-19 06:24
2428,興勤,上市,電子零組件業,2026-06-19 06:24
2429,銘旺科,上市,光電業,2026-06-19 06:24
2430,燦坤,上市,電子通路業,2026-06-19 06:24
2431,聯昌,上市,電子零組件業,2026-06-19 06:24
2433,互盛電,上市,其他電子業,2026-06-19 06:24
2434,統懋,上市,半導體業,2026-06-19 06:24
2436,偉詮電,上市,半導體業,2026-06-19 06:24
2438,翔耀,上市,光電業,2026-06-19 06:24
2439,美律,上市,通信網路業,2026-06-19 06:24
2440,太空梭,上市,電子零組件業,2026-06-19 06:24
2441,超豐,上市,半導體業,2026-06-19 06:24
2442,新美齊,上市,建材營造業,2026-06-19 06:24
2444,兆勁,上市,通信網路業,2026-06-19 06:24
2449,京元電子,上市,半導體業,2026-06-19 06:24
2450,神腦,上市,通信網路業,2026-06-19 06:24
2451,創見,上市,半導體業,2026-06-19 06:24
2453,凌群,上市,資訊服務業,2026-06-19 06:24
2454,聯發科,上市,半導體業,2026-06-19 06:24
2455,全新,上市,通信網路業,2026-06-19 06:24
2457,飛宏,上市,電子零組件業,2026-06-19 06:24
2458,義隆,上市,半導體業,2026-06-19 06:24
2459,敦吉,上市,其他電子業,2026-06-19 06:24
2460,建通,上市,電子零組件業,2026-06-19 06:24
2461,光群雷,上市,其他電子業,2026-06-19 06:24
2462,良得電,上市,電子零組件業,2026-06-19 06:24
2464,盟立,上市,其他電子業,2026-06-19 06:24
2465,麗臺,上市,電腦及週邊設備業,2026-06-19 06:24
2466,冠西電,上市,光電業,2026-06-19 06:24
2467,志聖,上市,電子零組件業,2026-06-19 06:24
2468,華經,上市,資訊服務業,2026-06-19 06:24
2471,資通,上市,資訊服務業,2026-06-19 06:24
2472,立隆電,上市,電子零組件業,2026-06-19 06:24
2474,可成,上市,其他電子業,2026-06-19 06:24
2476,鉅祥,上市,電子零組件業,2026-06-19 06:24
2477,美隆電,上市,其他電子業,2026-06-19 06:24
2478,大毅,上市,電子零組件業,2026-06-19 06:24
2480,敦陽科,上市,資訊服務業,2026-06-19 06:24
2481,強茂,上市,半導體業,2026-06-19 06:24
2482,連宇,上市,其他電子業,2026-06-19 06:24
2483,百容,上市,電子零組件業,2026-06-19 06:24
2484,希華,上市,電子零組件業,2026-06-19 06:24
2485,兆赫,上市,通信網路業,2026-06-19 06:24
2486,一詮,上市,光電業,2026-06-19 06:24
2488,漢平,上市,其他電子業,2026-06-19 06:24
2489,瑞軒,上市,光電業,2026-06-19 06:24
2491,吉祥全,上市,光電業,2026-06-19 06:24
2492,華新科,上市,電子零組件業,2026-06-19 06:24
2493,揚博,上市,電子零組件業,2026-06-19 06:24
2495,普安,上市,電腦及週邊設備業,2026-06-19 06:24
2496,卓越,上市,其他業,2026-06-19 06:24
2497,怡利電,上市,汽車工業,2026-06-19 06:24
2498,宏達電,上市,通信網路業,2026-06-19 06:24
2501,國建,上市,建材營造業,2026-06-19 06:24
2504,國產,上市,建材營造業,2026-06-19 06:24
2505,國揚,上市,建材營造業,2026-06-19 06:24
2506,太設,上市,建材營造業,2026-06-19 06:24
2509,全坤建,上市,建材營造業,2026-06-19 06:24
2511,太子,上市,建材營造業,2026-06-19 06:24
2514,龍邦,上市,其他業,2026-06-19 06:24
2515,中工,上市,建材營造業,2026-06-19 06:24
2516,新建,上市,建材營造業,2026-06-19 06:24
2520,冠德,上市,建材營造業,2026-06-19 06:24
2524,京城,上市,建材營造業,2026-06-19 06:24
2527,宏璟,上市,建材營造業,2026-06-19 06:24
2528,皇普,上市,建材營造業,2026-06-19 06:24
2530,華建,上市,建材營造業,2026-06-19 06:24
2534,宏盛,上市,建材營造業,2026-06-19 06:24
2535,達欣工,上市,建材營造業,2026-06-19 06:24
2536,宏普,上市,建材營造業,2026-06-19 06:24
2537,聯上發,上市,建材營造業,2026-06-19 06:24
2538,基泰,上市,建材營造業,2026-06-19 06:24
2539,櫻花建,上市,建材營造業,2026-06-19 06:24
2540,愛山林,上市,建材營造業,2026-06-19 06:24
2542,興富發,上市,建材營造業,2026-06-19 06:24
2543,皇昌,上市,建材營造業,2026-06-19 06:24
2545,皇翔,上市,建材營造業,2026-06-19 06:24
2546,根基,上市,建材營造業,2026-06-19 06:24
2547,日勝生,上市,建材營造業,2026-06-19 06:24
2548,華固,上市,建材營造業,2026-06-19 06:24
2596,綠意,上櫃,建材營造業,2026-06-19 06:24
2597,潤弘,上市,建材營造業,2026-06-19 06:24
2601,益航,上市,航運業,2026-06-19 06:24
2603,長榮,上市,航運業,2026-06-19 06:24
2605,新興,上市,航運業,2026-06-19 06:24
2606,裕民,上市,航運業,2026-06-19 06:24
2607,榮運,上市,航運業,2026-06-19 06:24
2608,嘉里大榮,上市,航運業,2026-06-19 06:24
2609,陽明,上市,航運業,2026-06-19 06:24
2610,華航,上市,航運業,2026-06-19 06:24
2611,志信,上市,航運業,2026-06-19 06:24
2612,中航,上市,航運業,2026-06-19 06:24
2613,中櫃,上市,航運業,2026-06-19 06:24
2614,東森,上市,其他業,2026-06-19 06:24
2615,萬海,上市,航運業,2026-06-19 06:24
2616,山隆,上市,油電燃氣業,2026-06-19 06:24
2617,台航,上市,航運業,2026-06-19 06:24
2618,長榮航,上市,航運業,2026-06-19 06:24
2630,亞航,上市,航運業,2026-06-19 06:24
2633,台灣高鐵,上市,航運業,2026-06-19 06:24
